User,Entitlement
amy.harris@testdomain.com,Approve Loans
amy.harris@testdomain.com,Account Closure Management
amy.harris@testdomain.com,Loan Underwriting
amy.harris@testdomain.com,Process Transactions
amy.harris@testdomain.com,Generate Statements
amy.harris@testdomain.com,Approve Loans
amy.harris@testdomain.com,Approve Overdrafts
amy.harris@testdomain.com,Access Vault
amy.harris@testdomain.com,Access Internal Reports
richard.watson@testdomain.com,Fraud Monitoring
richard.watson@testdomain.com,Manage Safe Deposit Boxes
mary.chang@testdomain.com,View Customer Accounts
mary.chang@testdomain.com,Process Transactions
mary.chang@testdomain.com,Generate Statements
mary.chang@testdomain.com,Issue Debit Cards
mary.chang@testdomain.com,Approve Overdrafts
mary.chang@testdomain.com,Access Vault
mary.chang@testdomain.com,Loan Underwriting
mary.chang@testdomain.com,Account Closure Management
mary.chang@testdomain.com,Fraud Monitoring
mary.chang@testdomain.com,Manage Safe Deposit Boxes
elizabeth.phillips@testdomain.com,Loan Underwriting
elizabeth.phillips@testdomain.com,Account Closure Management
elizabeth.phillips@testdomain.com,Approve Loans
nicholas.clark@testdomain.com,Loan Underwriting
nicholas.clark@testdomain.com,Account Closure Management
nicholas.clark@testdomain.com,Approve Loans
kayla.brown@testdomain.com,Generate Statements
kayla.brown@testdomain.com,View Customer Accounts
destiny.jacobs@testdomain.com,Loan Underwriting
destiny.jacobs@testdomain.com,Account Closure Management
destiny.jacobs@testdomain.com,Approve Overdrafts
destiny.jacobs@testdomain.com,Access Vault
destiny.jacobs@testdomain.com,Access Internal Reports
destiny.jacobs@testdomain.com,Approve Loans
destiny.jacobs@testdomain.com,Fraud Monitoring
destiny.jacobs@testdomain.com,Manage Safe Deposit Boxes
destiny.jacobs@testdomain.com,Generate Statements
destiny.jacobs@testdomain.com,Process Transactions
laura.jones@testdomain.com,Approve Overdrafts
laura.jones@testdomain.com,Access Internal Reports
laura.jones@testdomain.com,Access Vault
laura.jones@testdomain.com,Approve Loans
kevin.cruz@testdomain.com,Loan Underwriting
kevin.cruz@testdomain.com,Account Closure Management
kevin.cruz@testdomain.com,Process Transactions
kevin.cruz@testdomain.com,View Customer Accounts
kevin.cruz@testdomain.com,Issue Debit Cards
kevin.cruz@testdomain.com,Access Vault
kevin.cruz@testdomain.com,Approve Overdrafts
kevin.cruz@testdomain.com,Access Internal Reports
kevin.cruz@testdomain.com,Fraud Monitoring
kevin.cruz@testdomain.com,Manage Safe Deposit Boxes
kimberly.cooper@testdomain.com,Account Closure Management
kimberly.cooper@testdomain.com,Loan Underwriting
alexander.garcia@testdomain.com,Manage Safe Deposit Boxes
alexander.garcia@testdomain.com,Customer Service Chat
alexander.garcia@testdomain.com,Fraud Monitoring
alexander.garcia@testdomain.com,Approve Loans
alexander.garcia@testdomain.com,Account Closure Management
alexander.garcia@testdomain.com,Loan Underwriting
alexander.garcia@testdomain.com,View Customer Accounts
alexander.garcia@testdomain.com,Generate Statements
alexander.garcia@testdomain.com,Process Transactions
alexander.garcia@testdomain.com,Issue Debit Cards
alexander.garcia@testdomain.com,Access Vault
alexander.garcia@testdomain.com,Approve Overdrafts
alexander.garcia@testdomain.com,Approve Loans
kathy.west@testdomain.com,Process Transactions
kathy.west@testdomain.com,View Customer Accounts
kathy.west@testdomain.com,Account Closure Management
kathy.west@testdomain.com,Approve Loans
kathy.west@testdomain.com,Fraud Monitoring
kathy.west@testdomain.com,Manage Safe Deposit Boxes
kathy.west@testdomain.com,Approve Overdrafts
kathy.west@testdomain.com,Access Internal Reports
kimberly.ramirez@testdomain.com,Manage Safe Deposit Boxes
kimberly.ramirez@testdomain.com,Fraud Monitoring
kimberly.ramirez@testdomain.com,Customer Service Chat
kimberly.ramirez@testdomain.com,Access Vault
kimberly.ramirez@testdomain.com,Access Internal Reports
kimberly.ramirez@testdomain.com,Approve Loans
kimberly.ramirez@testdomain.com,Generate Statements
kimberly.ramirez@testdomain.com,View Customer Accounts
kimberly.ramirez@testdomain.com,Process Transactions
kathy.watkins@testdomain.com,Fraud Monitoring
kathy.watkins@testdomain.com,Customer Service Chat
kathy.watkins@testdomain.com,Manage Safe Deposit Boxes
kathy.watkins@testdomain.com,Process Transactions
kathy.watkins@testdomain.com,View Customer Accounts
stacy.gomez@testdomain.com,Account Closure Management
stacy.gomez@testdomain.com,Loan Underwriting
stacy.gomez@testdomain.com,Approve Loans
stacy.gomez@testdomain.com,Issue Debit Cards
stacy.gomez@testdomain.com,Process Transactions
stacy.gomez@testdomain.com,Access Internal Reports
stacy.gomez@testdomain.com,Approve Loans
richard.lindsey@testdomain.com,Approve Loans
